iteration,value
0,0.9990000128746033
1,0.9980444312095642
2,0.9970877170562744
3,0.9961135983467102
4,0.995158851146698
5,0.9942358136177063
6,0.9933333396911621
7,0.9924393892288208
8,0.9915462136268616
9,0.9906491637229919
10,0.9897454380989075
11,0.988832950592041
12,0.9879099130630493
13,0.9869745969772339
14,0.9860252737998962
15,0.9850600361824036
16,0.984076976776123
17,0.9830741286277771
18,0.9820493459701538
19,0.9810006022453308
20,0.9799261093139648
21,0.9788246154785156
22,0.9776957035064697
23,0.9765399694442749
24,0.975359320640564
25,0.9741567373275757
26,0.9729362726211548
27,0.9717028141021729
28,0.9704617261886597
29,0.9692186117172241
30,0.9679790735244751
31,0.9667484760284424
32,0.9655318260192871
33,0.964333713054657
34,0.9631582498550415
35,0.9620091915130615
36,0.9608900547027588
37,0.9598042368888855
38,0.9587551951408386
39,0.957746684551239
40,0.9567824602127075
41,0.9558660387992859
42,0.9550005197525024
43,0.9541881084442139
44,0.9534299969673157
45,0.9527263045310974
46,0.9520760178565979
47,0.9514772891998291
48,0.9509276747703552
49,0.9504243731498718
50,0.9499642848968506
51,0.9495443105697632
52,0.9491613507270813
53,0.9488124251365662
54,0.9484947323799133
55,0.9482056498527527
56,0.9479427337646484
57,0.9477036595344543
58,0.947486400604248
59,0.9472889304161072
60,0.947109580039978
61,0.9469466805458069
62,0.9467987418174744
63,0.9466643929481506
64,0.9465424418449402
65,0.9464317560195923
66,0.946331262588501
67,0.9462400674819946
68,0.9461573362350464
69,0.9460822343826294
70,0.9460141062736511
71,0.945952296257019
72,0.9458962678909302
73,0.9458454251289368
74,0.9457992911338806
75,0.9457574486732483
76,0.9457195401191711
77,0.9456851482391357
78,0.9456539750099182
79,0.9456256628036499
80,0.9456000328063965
81,0.9455767869949341
82,0.9455556869506836
83,0.9455365538597107
84,0.945519208908081
85,0.9455034732818604
86,0.9454891681671143
87,0.945476233959198
88,0.9454644918441772
89,0.9454538226127625
90,0.9454441666603088
91,0.9454354047775269
92,0.945427417755127
93,0.9454202055931091
94,0.9454136490821838
95,0.9454076886177063
96,0.9454022645950317
97,0.9453973174095154
98,0.9453928470611572
99,0.9453887939453125
