x,y,t,intensity
2460,801,0,195
2461,801,0,195
2462,801,0,195
2463,801,0,194
2464,801,0,193
2465,801,0,193
2466,801,0,193
2467,801,0,192
2468,801,0,191
2469,801,0,190
2470,801,0,190
2471,801,0,189
2472,801,0,189
2473,801,0,189
2474,801,0,188
2475,801,0,186
2476,801,0,184
2477,801,0,182
2478,801,0,180
2479,801,0,178
2480,801,0,178
2481,801,0,177
2482,801,0,177
2483,801,0,175
2484,801,0,174
2485,801,0,173
2486,801,0,172
2487,801,0,170
2488,801,0,169
2489,801,0,169
2490,801,0,167
2491,801,0,166
2492,801,0,165
2493,801,0,164
2494,801,0,165
2495,801,0,164
2496,801,0,163
2497,801,0,163
2498,801,0,162
2499,801,0,162
2500,801,0,162
2501,801,0,162
2502,801,0,161
2503,801,0,160
2504,801,0,160
2505,801,0,160
2506,801,0,159
2507,801,0,159
2508,801,0,157
2509,801,0,156
2510,801,0,155
2511,801,0,153
2512,801,0,149
2513,801,0,145
2514,801,0,140
2515,801,0,134
2516,801,0,129
2517,801,0,126
2518,801,0,120
2519,801,0,111
2520,801,0,105
2521,801,0,115
2522,801,0,127
2523,801,0,121
2524,801,0,103
2525,801,0,87
2526,801,0,79
2527,801,0,74
2528,801,0,70
2529,801,0,66
2530,801,0,62
2531,801,0,59
2532,801,0,55
2533,801,0,53
2534,801,0,49
2535,801,0,45
2536,801,0,42
2537,801,0,39
2538,801,0,36
2539,801,0,34
2540,801,0,33
2541,801,0,32
2542,801,0,33
2543,801,0,32
2544,801,0,31
2545,801,0,31
2546,801,0,29
2547,801,0,27
2548,801,0,26
2549,801,0,24
2550,801,0,23
2551,801,0,22
2552,801,0,20
2553,801,0,19
2554,801,0,20
2555,801,0,21
2556,801,0,22
2557,801,0,22
2558,801,0,22
2559,801,0,22
2560,801,0,22
2561,801,0,20
2562,801,0,19
2563,801,0,19
2564,801,0,19
2565,801,0,19
2566,801,0,21
2567,801,0,21
2568,801,0,20
2569,801,0,18
2570,801,0,17
2571,801,0,17
2572,801,0,17
2573,801,0,17
2574,801,0,17
2575,801,0,16
2576,801,0,15
2577,801,0,15
2578,801,0,14
2579,801,0,14
2580,801,0,14
2581,801,0,15
2582,801,0,16
